"filename", "language", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\LaRae\Desktop\Site-Creator\src\App.css", "CSS", 231, 0, 0, 133, 45, 409
"c:\Users\LaRae\Desktop\Site-Creator\src\App.js", "JavaScript", 0, 670, 0, 77, 137, 884
"c:\Users\LaRae\Desktop\Site-Creator\src\App.test.js", "JavaScript", 0, 7, 0, 0, 2, 9
"c:\Users\LaRae\Desktop\Site-Creator\src\BootstrapOverrides.css", "CSS", 20, 0, 0, 3, 6, 29
"c:\Users\LaRae\Desktop\Site-Creator\src\components\blogBanner.js", "JavaScript", 0, 75, 0, 1, 18, 94
"c:\Users\LaRae\Desktop\Site-Creator\src\components\blogPreview.js", "JavaScript", 0, 29, 0, 3, 8, 40
"c:\Users\LaRae\Desktop\Site-Creator\src\components\buttonEditable.js", "JavaScript", 0, 32, 0, 0, 5, 37
"c:\Users\LaRae\Desktop\Site-Creator\src\components\caption.js", "JavaScript", 0, 34, 0, 0, 9, 43
"c:\Users\LaRae\Desktop\Site-Creator\src\components\captionedPicture.js", "JavaScript", 0, 14, 0, 0, 2, 16
"c:\Users\LaRae\Desktop\Site-Creator\src\components\cardPaymentBlock.js", "JavaScript", 0, 16, 0, 3, 7, 26
"c:\Users\LaRae\Desktop\Site-Creator\src\components\cardSplitForm.js", "JavaScript", 0, 125, 0, 2, 14, 141
"c:\Users\LaRae\Desktop\Site-Creator\src\components\dynamicForm.js", "JavaScript", 0, 107, 0, 0, 26, 133
"c:\Users\LaRae\Desktop\Site-Creator\src\components\dynamicPage.js", "JavaScript", 0, 351, 0, 87, 99, 537
"c:\Users\LaRae\Desktop\Site-Creator\src\components\editableLineGraph.js", "JavaScript", 0, 170, 0, 2, 27, 199
"c:\Users\LaRae\Desktop\Site-Creator\src\components\editableLink.js", "JavaScript", 0, 102, 0, 1, 22, 125
"c:\Users\LaRae\Desktop\Site-Creator\src\components\footer.js", "JavaScript", 0, 50, 0, 0, 8, 58
"c:\Users\LaRae\Desktop\Site-Creator\src\components\header.js", "JavaScript", 0, 38, 0, 8, 13, 59
"c:\Users\LaRae\Desktop\Site-Creator\src\components\linkBox.js", "JavaScript", 0, 59, 0, 10, 12, 81
"c:\Users\LaRae\Desktop\Site-Creator\src\components\listComparisonTable.js", "JavaScript", 0, 72, 0, 0, 15, 87
"c:\Users\LaRae\Desktop\Site-Creator\src\components\listItemEditable.js", "JavaScript", 0, 27, 0, 0, 6, 33
"c:\Users\LaRae\Desktop\Site-Creator\src\components\mailchimpFormContainer.js", "JavaScript", 0, 95, 0, 4, 24, 123
"c:\Users\LaRae\Desktop\Site-Creator\src\components\mosaic.js", "JavaScript", 0, 45, 0, 0, 2, 47
"c:\Users\LaRae\Desktop\Site-Creator\src\components\navbar.js", "JavaScript", 0, 366, 0, 88, 87, 541
"c:\Users\LaRae\Desktop\Site-Creator\src\components\navbar2.js", "JavaScript", 0, 39, 0, 0, 8, 47
"c:\Users\LaRae\Desktop\Site-Creator\src\components\navbarOG.js", "JavaScript", 0, 173, 0, 51, 56, 280
"c:\Users\LaRae\Desktop\Site-Creator\src\components\paragraph.js", "JavaScript", 0, 37, 0, 32, 24, 93
"c:\Users\LaRae\Desktop\Site-Creator\src\components\pictureFrame.js", "JavaScript", 0, 92, 0, 50, 39, 181
"c:\Users\LaRae\Desktop\Site-Creator\src\components\planComparison.js", "JavaScript", 0, 245, 0, 6, 50, 301
"c:\Users\LaRae\Desktop\Site-Creator\src\components\product.js", "JavaScript", 0, 103, 0, 2, 20, 125
"c:\Users\LaRae\Desktop\Site-Creator\src\components\quickLink.js", "JavaScript", 0, 7, 0, 0, 2, 9
"c:\Users\LaRae\Desktop\Site-Creator\src\components\quillComponent.js", "JavaScript", 0, 84, 0, 5, 18, 107
"c:\Users\LaRae\Desktop\Site-Creator\src\components\quillToolbar.js", "JavaScript", 0, 85, 0, 6, 8, 99
"c:\Users\LaRae\Desktop\Site-Creator\src\components\shop.js", "JavaScript", 0, 12, 0, 0, 3, 15
"c:\Users\LaRae\Desktop\Site-Creator\src\components\slideShow.js", "JavaScript", 0, 44, 0, 2, 9, 55
"c:\Users\LaRae\Desktop\Site-Creator\src\components\styleEditor.js", "JavaScript", 0, 237, 0, 30, 42, 309
"c:\Users\LaRae\Desktop\Site-Creator\src\components\subscriberBox.js", "JavaScript", 0, 55, 0, 10, 13, 78
"c:\Users\LaRae\Desktop\Site-Creator\src\components\videoFrame.js", "JavaScript", 0, 68, 0, 3, 14, 85
"c:\Users\LaRae\Desktop\Site-Creator\src\components\walkthrough.js", "JavaScript", 0, 141, 0, 47, 51, 239
"c:\Users\LaRae\Desktop\Site-Creator\src\index.css", "CSS", 164, 0, 0, 37, 31, 232
"c:\Users\LaRae\Desktop\Site-Creator\src\index.js", "JavaScript", 0, 12, 0, 3, 3, 18
"c:\Users\LaRae\Desktop\Site-Creator\src\logo.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\aboutPage.js", "JavaScript", 0, 14, 0, 10, 4, 28
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\adminPage.js", "JavaScript", 0, 25, 0, 0, 11, 36
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\advertisingPage.js", "JavaScript", 0, 21, 0, 0, 4, 25
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\blogPage.js", "JavaScript", 0, 14, 0, 10, 4, 28
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\checkoutPage.js", "JavaScript", 0, 238, 0, 16, 43, 297
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\coachingPage.js", "JavaScript", 0, 11, 0, 2, 9, 22
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\createBlogPostPage.js", "JavaScript", 0, 67, 0, 10, 18, 95
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\dynamicTestPage.js", "JavaScript", 0, 11, 0, 3, 9, 23
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\modelingPage.js", "JavaScript", 0, 19, 0, 0, 1, 20
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\testPage.js", "JavaScript", 0, 73, 0, 1, 21, 95
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\viewBlogPostPage.js", "JavaScript", 0, 50, 0, 1, 11, 62
"c:\Users\LaRae\Desktop\Site-Creator\src\quill.css", "CSS", 902, 0, 0, 59, 3, 964
"c:\Users\LaRae\Desktop\Site-Creator\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 2, 14
"c:\Users\LaRae\Desktop\Site-Creator\src\setupTests.js", "JavaScript", 0, 1, 0, 4, 1, 6
"c:\Users\LaRae\Desktop\Site-Creator\src\temp.css", "CSS", 37, 0, 0, 4, 8, 49
"Total", "-", 1354, 4474, 1, 826, 1134, 7789
