"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\LaRae\Desktop\Site-Creator\package-lock.json", "JSON", 0, 17528, 0, 0, 0, 0, 0, 0, 1, 17529
"c:\Users\LaRae\Desktop\Site-Creator\package.json", "JSON", 0, 85, 0, 0, 0, 0, 0, 0, 1, 86
"c:\Users\LaRae\Desktop\Site-Creator\public\404.html", "HTML", 0, 0, 0, 0, 0, 0, 37, 0, 3, 40
"c:\Users\LaRae\Desktop\Site-Creator\public\README.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\LaRae\Desktop\Site-Creator\public\env.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\LaRae\Desktop\Site-Creator\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 52, 25, 3, 80
"c:\Users\LaRae\Desktop\Site-Creator\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\LaRae\Desktop\Site-Creator\src\App.css", "CSS", 0, 0, 0, 0, 19, 0, 0, 0, 7, 26
"c:\Users\LaRae\Desktop\Site-Creator\src\App.js", "JavaScript", 0, 0, 0, -8, 0, 0, 0, 0, 24, 16
"c:\Users\LaRae\Desktop\Site-Creator\src\BootstrapOverrides.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\LaRae\Desktop\Site-Creator\src\components\AdminNavWrapper.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 8, 4, 44
"c:\Users\LaRae\Desktop\Site-Creator\src\components\AdminWrapper.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 9, 8, 55
"c:\Users\LaRae\Desktop\Site-Creator\src\components\Photo.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 5, 27
"c:\Users\LaRae\Desktop\Site-Creator\src\components\Sensors.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 6, 41
"c:\Users\LaRae\Desktop\Site-Creator\src\components\appointments.js", "JavaScript", 0, 0, 0, 260, 0, 0, 0, 12, 26, 298
"c:\Users\LaRae\Desktop\Site-Creator\src\components\countDown.js", "JavaScript", 0, 0, 0, 240, 0, 0, 0, 6, 34, 280
"c:\Users\LaRae\Desktop\Site-Creator\src\components\dynamicForm.js", "JavaScript", 0, 0, 0, 435, 0, 0, 0, 20, 41, 496
"c:\Users\LaRae\Desktop\Site-Creator\src\components\dynamicForm2.js", "JavaScript", 0, 0, 0, 125, 0, 0, 0, 0, 29, 154
"c:\Users\LaRae\Desktop\Site-Creator\src\components\dynamicPage.js", "JavaScript", 0, 0, 0, -138, 0, 0, 0, -77, -53, -268
"c:\Users\LaRae\Desktop\Site-Creator\src\components\dynamicPageOG.js", "JavaScript", 0, 0, 0, 150, 0, 0, 0, 287, 112, 549
"c:\Users\LaRae\Desktop\Site-Creator\src\components\editableLink.js", "JavaScript", 0, 0, 0, -14, 0, 0, 0, 11, -1, -4
"c:\Users\LaRae\Desktop\Site-Creator\src\components\emailSender.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 7, 22
"c:\Users\LaRae\Desktop\Site-Creator\src\components\footer.js", "JavaScript", 0, 0, 0, -4, 0, 0, 0, 0, 4, 0
"c:\Users\LaRae\Desktop\Site-Creator\src\components\header.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, -6, 12, 19
"c:\Users\LaRae\Desktop\Site-Creator\src\components\linkBox.js", "JavaScript", 0, 0, 0, -14, 0, 0, 0, -8, -3, -25
"c:\Users\LaRae\Desktop\Site-Creator\src\components\listComparisonTable.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 3, 10, 34
"c:\Users\LaRae\Desktop\Site-Creator\src\components\mosaic.js", "JavaScript", 0, 0, 0, 84, 0, 0, 0, 4, 16, 104
"c:\Users\LaRae\Desktop\Site-Creator\src\components\navbar.js", "JavaScript", 0, 0, 0, 197, 0, 0, 0, -22, 20, 195
"c:\Users\LaRae\Desktop\Site-Creator\src\components\paragraph.js", "JavaScript", 0, 0, 0, -23, 0, 0, 0, 10, 3, -10
"c:\Users\LaRae\Desktop\Site-Creator\src\components\paragraphBacked.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 32, 27, 99
"c:\Users\LaRae\Desktop\Site-Creator\src\components\photoGallery.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 1, 8, 37
"c:\Users\LaRae\Desktop\Site-Creator\src\components\pictureFrame.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 1, 0, 3
"c:\Users\LaRae\Desktop\Site-Creator\src\components\planComparison.js", "JavaScript", 0, 0, 0, -11, 0, 0, 0, 59, 11, 59
"c:\Users\LaRae\Desktop\Site-Creator\src\components\quillComponent.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 1, 4, 24
"c:\Users\LaRae\Desktop\Site-Creator\src\components\quillToolbarMini.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 6, 7, 81
"c:\Users\LaRae\Desktop\Site-Creator\src\components\styleEditor.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\LaRae\Desktop\Site-Creator\src\components\test.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"c:\Users\LaRae\Desktop\Site-Creator\src\components\testPhotos.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 1, 48
"c:\Users\LaRae\Desktop\Site-Creator\src\components\walkthrough.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 2, 9, 32
"c:\Users\LaRae\Desktop\Site-Creator\src\functions\browserEmail.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 5, 6, 17
"c:\Users\LaRae\Desktop\Site-Creator\src\functions\googleCalendarAPI.js", "JavaScript", 0, 0, 0, 96, 0, 0, 0, 8, 37, 141
"c:\Users\LaRae\Desktop\Site-Creator\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\LaRae\Desktop\Site-Creator\src\websiteVersions\current.js", "JavaScript", 0, 0, 0, 422, 0, 0, 0, 6, 14, 442
"c:\Users\LaRae\Desktop\Site-Creator\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 17638, 35, 2191, 25, 2, 89, 404, 452, 20862
