"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "CSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\LaRae\Desktop\Site-Creator\package-lock.json", "JSON", 0, 17528, 0, 0, 0, 0, 0, 0, 0, 1, 17529
"c:\Users\LaRae\Desktop\Site-Creator\package.json", "JSON", 0, 85, 0, 0, 0, 0, 0, 0, 0, 1, 86
"c:\Users\LaRae\Desktop\Site-Creator\public\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 3, 40
"c:\Users\LaRae\Desktop\Site-Creator\public\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\LaRae\Desktop\Site-Creator\public\env.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\LaRae\Desktop\Site-Creator\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 52, 25, 3, 80
"c:\Users\LaRae\Desktop\Site-Creator\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\LaRae\Desktop\Site-Creator\src\App.css", "CSS", 0, 0, 0, 0, 250, 0, 0, 0, 133, 52, 435
"c:\Users\LaRae\Desktop\Site-Creator\src\App.js", "JavaScript", 0, 0, 662, 0, 0, 0, 0, 0, 77, 161, 900
"c:\Users\LaRae\Desktop\Site-Creator\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\LaRae\Desktop\Site-Creator\src\BootstrapOverrides.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 3, 7, 36
"c:\Users\LaRae\Desktop\Site-Creator\src\components\AdminNavWrapper.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 8, 4, 44
"c:\Users\LaRae\Desktop\Site-Creator\src\components\AdminWrapper.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 9, 8, 55
"c:\Users\LaRae\Desktop\Site-Creator\src\components\Photo.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\LaRae\Desktop\Site-Creator\src\components\Sensors.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 6, 41
"c:\Users\LaRae\Desktop\Site-Creator\src\components\appointments.js", "JavaScript", 0, 0, 260, 0, 0, 0, 0, 0, 12, 26, 298
"c:\Users\LaRae\Desktop\Site-Creator\src\components\blogBanner.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 1, 18, 94
"c:\Users\LaRae\Desktop\Site-Creator\src\components\blogPreview.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 3, 8, 40
"c:\Users\LaRae\Desktop\Site-Creator\src\components\buttonEditable.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\LaRae\Desktop\Site-Creator\src\components\caption.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 9, 43
"c:\Users\LaRae\Desktop\Site-Creator\src\components\captionedPicture.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\LaRae\Desktop\Site-Creator\src\components\cardPaymentBlock.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 3, 7, 26
"c:\Users\LaRae\Desktop\Site-Creator\src\components\cardSplitForm.js", "JavaScript", 0, 0, 125, 0, 0, 0, 0, 0, 2, 14, 141
"c:\Users\LaRae\Desktop\Site-Creator\src\components\countDown.js", "JavaScript", 0, 0, 240, 0, 0, 0, 0, 0, 6, 34, 280
"c:\Users\LaRae\Desktop\Site-Creator\src\components\dynamicForm.js", "JavaScript", 0, 0, 542, 0, 0, 0, 0, 0, 20, 67, 629
"c:\Users\LaRae\Desktop\Site-Creator\src\components\dynamicForm2.js", "JavaScript", 0, 0, 125, 0, 0, 0, 0, 0, 0, 29, 154
"c:\Users\LaRae\Desktop\Site-Creator\src\components\dynamicPage.js", "JavaScript", 0, 0, 213, 0, 0, 0, 0, 0, 10, 46, 269
"c:\Users\LaRae\Desktop\Site-Creator\src\components\dynamicPageOG.js", "JavaScript", 0, 0, 150, 0, 0, 0, 0, 0, 287, 112, 549
"c:\Users\LaRae\Desktop\Site-Creator\src\components\editableLineGraph.js", "JavaScript", 0, 0, 170, 0, 0, 0, 0, 0, 2, 27, 199
"c:\Users\LaRae\Desktop\Site-Creator\src\components\editableLink.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 0, 12, 21, 121
"c:\Users\LaRae\Desktop\Site-Creator\src\components\emailSender.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 22
"c:\Users\LaRae\Desktop\Site-Creator\src\components\footer.js", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 12, 58
"c:\Users\LaRae\Desktop\Site-Creator\src\components\header.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 2, 25, 78
"c:\Users\LaRae\Desktop\Site-Creator\src\components\linkBox.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 2, 9, 56
"c:\Users\LaRae\Desktop\Site-Creator\src\components\listComparisonTable.js", "JavaScript", 0, 0, 93, 0, 0, 0, 0, 0, 3, 25, 121
"c:\Users\LaRae\Desktop\Site-Creator\src\components\listItemEditable.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\LaRae\Desktop\Site-Creator\src\components\mailchimpFormContainer.js", "JavaScript", 0, 0, 95, 0, 0, 0, 0, 0, 4, 24, 123
"c:\Users\LaRae\Desktop\Site-Creator\src\components\mosaic.js", "JavaScript", 0, 0, 129, 0, 0, 0, 0, 0, 4, 18, 151
"c:\Users\LaRae\Desktop\Site-Creator\src\components\navbar.js", "JavaScript", 0, 0, 563, 0, 0, 0, 0, 0, 66, 107, 736
"c:\Users\LaRae\Desktop\Site-Creator\src\components\navbar2.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 8, 47
"c:\Users\LaRae\Desktop\Site-Creator\src\components\navbarOG.js", "JavaScript", 0, 0, 173, 0, 0, 0, 0, 0, 51, 56, 280
"c:\Users\LaRae\Desktop\Site-Creator\src\components\paragraph.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 42, 27, 83
"c:\Users\LaRae\Desktop\Site-Creator\src\components\paragraphBacked.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 32, 27, 99
"c:\Users\LaRae\Desktop\Site-Creator\src\components\photoGallery.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 1, 8, 37
"c:\Users\LaRae\Desktop\Site-Creator\src\components\pictureFrame.js", "JavaScript", 0, 0, 94, 0, 0, 0, 0, 0, 51, 39, 184
"c:\Users\LaRae\Desktop\Site-Creator\src\components\planComparison.js", "JavaScript", 0, 0, 234, 0, 0, 0, 0, 0, 65, 61, 360
"c:\Users\LaRae\Desktop\Site-Creator\src\components\product.js", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 0, 2, 20, 125
"c:\Users\LaRae\Desktop\Site-Creator\src\components\quickLink.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\LaRae\Desktop\Site-Creator\src\components\quillComponent.js", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 0, 6, 22, 131
"c:\Users\LaRae\Desktop\Site-Creator\src\components\quillToolbar.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 0, 6, 8, 99
"c:\Users\LaRae\Desktop\Site-Creator\src\components\quillToolbarMini.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 0, 6, 7, 81
"c:\Users\LaRae\Desktop\Site-Creator\src\components\shop.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\LaRae\Desktop\Site-Creator\src\components\slideShow.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 2, 9, 55
"c:\Users\LaRae\Desktop\Site-Creator\src\components\styleEditor.js", "JavaScript", 0, 0, 242, 0, 0, 0, 0, 0, 30, 45, 317
"c:\Users\LaRae\Desktop\Site-Creator\src\components\subscriberBox.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 0, 10, 13, 78
"c:\Users\LaRae\Desktop\Site-Creator\src\components\test.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\LaRae\Desktop\Site-Creator\src\components\testPhotos.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\LaRae\Desktop\Site-Creator\src\components\videoFrame.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 0, 3, 14, 85
"c:\Users\LaRae\Desktop\Site-Creator\src\components\walkthrough.js", "JavaScript", 0, 0, 162, 0, 0, 0, 0, 0, 49, 60, 271
"c:\Users\LaRae\Desktop\Site-Creator\src\functions\browserEmail.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 5, 6, 17
"c:\Users\LaRae\Desktop\Site-Creator\src\functions\googleCalendarAPI.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 0, 8, 37, 141
"c:\Users\LaRae\Desktop\Site-Creator\src\index.css", "CSS", 0, 0, 0, 0, 164, 0, 0, 0, 37, 31, 232
"c:\Users\LaRae\Desktop\Site-Creator\src\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\LaRae\Desktop\Site-Creator\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\aboutPage.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 10, 4, 28
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\adminPage.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 11, 36
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\advertisingPage.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\blogPage.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 10, 4, 28
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\checkoutPage.js", "JavaScript", 0, 0, 238, 0, 0, 0, 0, 0, 16, 43, 297
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\coachingPage.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 2, 9, 22
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\createBlogPostPage.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 10, 18, 95
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\dynamicTestPage.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 3, 9, 23
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\modelingPage.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\testPage.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 1, 21, 95
"c:\Users\LaRae\Desktop\Site-Creator\src\pages\viewBlogPostPage.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 1, 11, 62
"c:\Users\LaRae\Desktop\Site-Creator\src\quill.css", "CSS", 0, 0, 0, 0, 902, 0, 0, 0, 59, 3, 964
"c:\Users\LaRae\Desktop\Site-Creator\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\LaRae\Desktop\Site-Creator\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\LaRae\Desktop\Site-Creator\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\LaRae\Desktop\Site-Creator\src\temp.css", "CSS", 0, 0, 0, 0, 37, 0, 0, 0, 4, 8, 49
"c:\Users\LaRae\Desktop\Site-Creator\src\websiteVersions\current.js", "JavaScript", 0, 0, 422, 0, 0, 0, 0, 0, 6, 14, 442
"c:\Users\LaRae\Desktop\Site-Creator\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 17638, 6665, 35, 1379, 1, 2, 89, 1230, 1586, 28651
